time,x,y,z
49,0.11312,0.11401,-0.02027
98,0.07281,-0.08147,-0.03127
149,0.03371,0.05781,-0.00561
198,0.07708,-0.03016,-0.01355
249,0.18215,0.13967,-0.04959
299,0.15405,-0.09857,-0.04898
348,0.11740,0.02238,0.01516
399,0.07586,-0.11507,0.03654
448,0.12840,-0.10224,0.06036
499,-0.00661,-0.03321,0.06953
548,0.13084,0.06942,0.04265
599,-0.01516,-0.01427,-0.03432
649,0.01722,0.07980,0.04204
700,-0.06464,-0.04115,0.09152
751,-0.05853,0.01199,0.08602
798,-0.07808,0.00650,0.05731
849,-0.04326,0.02910,0.02249
898,-0.03654,0.05414,-0.04959
949,-0.03348,0.05170,-0.01111
998,0.02027,0.02849,-0.05387
1049,-0.00416,0.00527,0.02799
1099,0.08502,0.03093,-0.02027
1148,-0.05914,0.01932,-0.04410
1198,0.02577,0.08224,-0.02882
1249,-0.01271,-0.02954,0.00600
1298,0.01477,-0.02099,-0.03005
1349,-0.02004,-0.02282,0.01088
1399,-0.01516,0.02238,0.02127
1449,-0.01943,-0.05031,-0.03127
1498,0.00561,0.05598,-0.04043
1548,0.03799,-0.03504,-0.04410
1599,-0.04876,0.01505,-0.00011
1648,-0.00416,0.02238,-0.00500
1698,-0.01271,-0.00450,-0.01844
1752,-0.02615,-0.03871,0.00905
1799,0.02638,-0.02832,0.02127
1848,0.06303,-0.01122,-0.02394
1898,-0.07624,-0.03443,0.01394
1950,0.05326,0.01566,-0.00805
1999,-0.02371,-0.03321,-0.05143
2050,0.04715,-0.01061,0.02066
2099,-0.05670,0.00405,-0.01111
2149,0.01477,0.00833,0.01516
2198,-0.13489,-0.04115,-0.01966
2250,0.08258,0.07369,-0.02210
2299,-0.08846,-0.02038,-0.05020
2348,0.02333,-0.00511,-0.01661
2399,-0.04753,0.02727,0.00844
2449,0.05815,0.01688,-0.02272
2498,-0.08235,-0.04970,-0.00256
2549,0.07220,0.02971,0.03471
2598,-0.03165,-0.07780,0.00294
2648,0.03738,0.05231,0.02432
2699,-0.01149,-0.02893,0.01394
2749,0.01783,0.05109,0.00783
2804,-0.02860,-0.02649,0.03226
2850,-0.04326,0.02482,0.00722
2899,-0.01088,-0.02405,0.01882
2949,0.00989,0.01688,-0.02944
2998,-0.03043,-0.05703,-0.05876
3050,-0.13916,-0.09002,-0.03921
3099,0.07158,-0.00878,-0.00500
3150,-0.04998,0.06514,-0.00500
3199,-0.01027,-0.04054,-0.01233
3249,0.04226,-0.00572,0.01027
3298,0.03066,0.02971,0.00172
3351,0.01844,-0.03626,-0.00134
3399,0.03432,-0.03626,-0.00928
3449,0.00622,0.02482,-0.00500
3498,-0.05364,-0.01672,0.00966
3549,0.02394,-0.05703,0.01210
3599,-0.08357,0.04132,0.02493
3650,-0.03226,-0.07169,0.01699
3700,-0.14100,-0.02221,-0.02088
3750,0.04715,0.04681,-0.00256
3805,0.06975,0.04559,0.01149
3850,0.00928,0.01505,-0.00683
3899,0.04471,0.00650,-0.05631
3950,0.00867,-0.00389,0.00111
3999,0.01722,0.03582,0.00172
4049,-0.00661,-0.01794,0.00233
4099,0.00989,0.04193,-0.01172
4148,-0.01943,-0.00144,-0.00683
4199,0.00500,0.01810,0.00477
4248,-0.04814,-0.02160,-0.02088
4299,-0.00600,-0.00083,0.00966
4349,-0.00355,-0.03260,0.01882
4398,0.04471,-0.00878,0.01821
4449,-0.03409,-0.06681,0.01394
4498,0.06059,0.02116,0.00294
4548,-0.00477,-0.00083,-0.02027
4599,0.01294,-0.01672,0.00538
4648,0.03554,-0.01366,-0.00989
4699,-0.00538,0.00100,-0.00683
4749,-0.05853,-0.02344,0.02004
4802,0.01477,-0.01733,0.02554
4848,0.02638,0.02849,0.01943
4899,-0.02432,-0.02344,-0.00256
4949,0.00256,0.04498,0.02127
4999,0.02882,0.01383,0.02310
5050,0.44116,0.94417,0.46964
5099,0.78263,2.55747,1.10189
5149,1.58531,3.15978,1.21123
5198,0.53279,2.34489,0.35541
5249,3.19311,3.49820,1.34196
5299,1.33730,4.36624,1.76529
5349,-0.64129,1.26610,-0.14916
5399,-0.89114,1.56848,1.43725
5449,-0.11778,0.73098,1.32852
5498,0.29272,1.13293,0.51973
5549,0.89503,0.24290,0.85082
5599,1.65983,-0.81695,-0.05815
5648,-1.22589,0.33514,0.07563
5698,-1.74085,1.49334,-1.36356
5749,-0.02921,0.59293,-1.10028
5803,0.70933,-0.85360,-1.31775
5850,1.04775,-1.83832,-1.26827
5899,0.25668,-1.54877,-2.17907
5949,0.99888,-0.89697,-0.97505
5999,1.32752,-0.45898,-0.40695
6049,1.48146,0.11523,0.29616
6099,0.46743,0.02177,0.75308
6150,0.29883,0.40600,0.48369
6199,-0.55944,-0.51213,0.91069
6250,-0.05303,-0.45654,-0.23652
6299,-0.08480,0.04742,0.09885
6349,-1.34990,-0.60803,-0.10457
6399,-0.01394,-0.24396,0.80806
6449,-0.98949,-0.95806,-0.92496
6499,-1.16420,-1.77479,-1.55171
6550,-0.53806,-0.55733,-1.53644
6599,-0.81417,-0.88109,-1.00499
6649,-1.17702,-0.79801,-1.41610
6699,-0.72071,0.21847,-1.50467
6750,-0.97605,0.00100,-0.87304
6804,-0.33281,0.55444,-1.07890
6849,-0.10312,0.71144,-0.98544
6899,0.40756,0.91913,-0.82845
6950,-0.11778,1.77984,-1.26460
6999,0.41245,1.13904,-0.78996
7049,0.39840,0.06392,-0.66290
7099,-0.54111,-0.71249,0.44948
7148,1.04286,0.94906,-0.09113
7199,0.68245,0.88064,0.35724
7249,1.08562,0.31376,0.66695
7298,0.57677,0.27528,1.34379
7348,0.85288,0.12256,1.36151
7399,1.05508,0.22885,1.42076
7449,0.90664,-0.12606,0.97238
7498,0.82417,-0.01366,1.00232
7549,0.15833,-0.08452,1.02797
7598,-0.00600,-1.03625,1.27415
7649,0.20048,-0.14500,0.49408
7699,0.46010,-0.51701,1.32546
7750,-0.74209,-0.36613,-0.62381
7799,-0.05242,-0.09735,1.96565
7854,-0.56555,0.43166,-0.58593
7898,-2.20206,-1.10528,1.59241
7949,0.39962,0.68761,1.35112
7999,-0.70910,0.99182,0.06158
8049,-1.39999,-0.53351,-0.51385
8101,-1.20940,-0.60681,-1.35623
8149,-0.64740,0.10057,-1.66594
8199,-0.45865,0.12439,-1.96405
