time,x,y,z
49,-0.16042,-0.11014,9.35443
98,-0.25858,-0.17478,10.03441
149,0.03831,-0.06704,9.85723
198,-0.08619,-0.26337,10.00807
249,-0.61772,-0.27055,10.03919
299,-0.46449,0.28252,9.68724
348,-0.49322,0.12690,9.80695
399,-0.41900,0.18675,10.27383
448,-0.16520,0.43576,9.33049
499,-0.50040,0.06704,10.14694
548,-0.16520,0.27534,9.43105
599,-0.33280,0.36154,9.64414
649,-0.33280,0.45970,9.63935
699,-0.14845,0.24661,9.91709
751,-0.13887,0.20830,9.68484
798,0.01437,0.00479,9.98891
849,-0.13408,0.24422,9.49809
898,-0.05986,0.29210,9.71118
949,-0.15563,0.11253,10.23553
998,-0.08380,0.28731,10.13736
1049,-0.20830,0.34238,9.82850
1099,-0.19872,0.07183,10.15891
1148,-0.36872,0.28252,9.81892
1198,-0.31844,0.29210,9.96737
1249,-0.11971,0.19394,9.95061
1298,-0.32323,0.07901,10.05356
1349,-0.20351,0.26337,9.66569
1399,-0.25379,0.14366,9.86202
1449,-0.15084,0.08619,9.98652
1498,-0.20830,0.11493,9.86441
1548,-0.47646,0.22267,9.98652
1599,-0.39745,0.34238,9.59386
1648,-0.27774,0.15323,9.86202
1698,-0.43097,0.13887,10.00328
1752,-0.31126,0.22027,9.85723
1798,-0.23224,0.12450,9.89554
1848,-0.16520,0.10056,10.06314
1898,-0.19633,0.26576,9.69921
1949,0.04070,-0.02873,10.22834
1999,-0.46688,0.14366,9.77822
2049,-0.19633,0.22027,9.87160
2099,-0.27295,0.16281,9.69442
2149,-0.20112,0.14845,9.69442
2198,-0.29928,0.07183,9.87399
2249,-0.07183,-0.00958,9.98173
2299,-0.23943,0.09577,10.11102
2348,-0.34478,0.12929,9.88357
2399,-0.35675,0.18436,9.63935
2449,-0.27774,0.04789,9.88357
2498,-0.45731,0.12690,9.99370
2549,-0.40703,0.13408,9.89793
2598,-0.27295,0.02394,9.95061
2648,-0.32323,0.14366,9.75667
2699,-0.20112,0.05267,10.01525
2748,-0.37111,0.11493,9.76864
2804,-0.26576,0.06465,10.03201
2849,-0.29210,0.13169,9.78780
2899,-0.13169,0.11253,9.93624
2949,-0.07901,0.10056,9.71597
2998,-0.17718,-0.00239,9.95061
3049,-0.25858,-0.07901,10.04159
3099,-0.24661,-0.05507,9.91709
3149,-0.07422,0.14845,9.70878
3199,-0.22985,0.06225,10.07271
3249,-0.14126,0.06704,9.86202
3298,-0.13169,-0.00239,9.96497
3350,-0.21070,0.02873,10.00807
3399,-0.07901,0.04310,9.63935
3449,-0.15323,0.07183,9.93863
3498,-0.37830,0.14845,9.78540
3548,-0.15802,0.05028,10.01286
3599,-0.42858,0.12929,9.34007
3650,-0.14605,-0.09098,9.96258
3699,0.07901,-0.13887,10.10145
3749,0.02155,-0.06465,9.88596
3805,-0.23224,0.10535,9.73033
3849,-0.24422,-0.08380,10.08469
3899,-0.13169,0.09338,9.87638
3950,-0.14845,0.10535,9.92906
3998,-0.29450,0.06943,9.84765
4049,-0.09577,0.01676,9.90512
4098,-0.13647,0.01915,9.86202
4148,-0.30407,0.05986,9.92427
4199,-0.07422,0.11014,9.86681
4248,-0.06225,0.00000,10.08229
4299,-0.22506,0.16042,9.63217
4349,-0.24661,-0.01197,10.20201
4398,-0.23703,0.09098,9.70639
4449,-0.13887,0.00479,9.90512
4498,-0.17957,-0.05028,10.02722
4548,-0.10774,0.08380,9.78301
4599,-0.21788,0.01197,9.87399
4648,-0.09338,0.08619,9.81174
4699,-0.13169,0.13169,9.79498
4749,-0.16520,0.05028,10.04638
4802,-0.16999,0.11253,9.79737
4848,-0.19394,-0.00958,9.98173
4898,-0.06943,0.06943,9.80695
4949,-0.03113,0.02873,9.77104
4999,-0.00479,-0.07183,9.93145
5050,0.25379,0.31604,9.58189
5098,-1.04151,0.39984,8.10701
5149,-0.32083,0.14126,9.35683
5198,-3.13650,-0.44055,11.51167
5248,-3.93858,1.37192,9.41429
5299,-4.50363,3.66803,9.02402
5349,-8.26025,5.67443,4.52997
5399,-8.66009,6.34722,5.99048
5449,-6.32567,6.67284,3.92182
5498,-5.50923,5.16684,5.04474
5549,-6.65848,5.34881,4.42462
5599,-3.32565,5.21234,3.63451
5648,-7.29775,2.55709,6.78298
