time,x,y,z
49,24.30000,6.42000,-40.98000
98,24.78000,5.82000,-41.16000
149,24.18000,5.94000,-41.16000
198,24.60000,5.94000,-40.20000
249,24.42000,5.82000,-41.22000
299,24.30000,5.94000,-41.28000
348,24.48000,6.12000,-40.80000
399,25.02000,4.92000,-41.34000
448,24.78000,4.62000,-41.04000
499,24.24000,4.50000,-41.52000
548,24.24000,4.38000,-40.68000
599,24.60000,5.04000,-41.52000
649,24.06000,4.14000,-42.12000
699,24.90000,4.74000,-41.94000
751,24.24000,3.72000,-41.16000
798,24.90000,3.84000,-40.80000
849,24.84000,3.66000,-40.92000
898,25.08000,4.14000,-41.40000
949,24.48000,4.08000,-40.74000
998,24.78000,4.38000,-40.86000
1049,24.72000,4.44000,-41.76000
1099,24.12000,3.78000,-41.34000
1148,25.44000,5.16000,-40.86000
1198,25.02000,4.14000,-40.74000
1249,24.66000,4.32000,-40.92000
1298,24.24000,4.68000,-41.88000
1349,24.60000,4.20000,-40.92000
1399,24.36000,4.32000,-41.64000
1449,24.12000,4.56000,-41.82000
1498,24.18000,5.04000,-41.10000
1548,24.36000,4.86000,-41.04000
1599,24.06000,4.14000,-41.16000
1648,24.60000,4.98000,-40.98000
1698,25.02000,5.04000,-40.80000
1752,24.54000,4.62000,-41.82000
1799,24.72000,4.86000,-40.74000
1848,25.20000,4.86000,-41.46000
1898,23.88000,4.62000,-41.04000
1950,25.02000,4.44000,-41.40000
1999,24.42000,4.02000,-40.62000
2049,24.24000,4.92000,-41.94000
2099,24.00000,4.38000,-40.98000
2149,24.60000,4.80000,-40.86000
2198,24.18000,5.04000,-42.12000
2250,23.82000,5.16000,-41.76000
2299,24.66000,5.28000,-41.10000
2348,24.48000,5.40000,-41.46000
2399,24.90000,5.64000,-40.86000
2449,24.60000,5.22000,-40.74000
2498,23.82000,4.98000,-41.52000
2549,24.54000,4.38000,-40.44000
2598,25.32000,4.56000,-40.86000
2648,24.60000,5.52000,-41.22000
2699,24.54000,4.32000,-40.98000
2748,24.00000,4.92000,-40.86000
2804,24.60000,5.22000,-41.22000
2850,23.70000,5.52000,-41.28000
2899,23.94000,5.46000,-40.92000
2949,24.66000,5.10000,-40.68000
2998,25.14000,5.34000,-41.10000
3049,23.52000,5.34000,-40.86000
3099,24.72000,5.22000,-41.34000
3150,24.42000,5.16000,-41.16000
3199,24.48000,5.16000,-41.70000
3249,23.58000,5.58000,-41.52000
3298,24.24000,5.82000,-41.40000
3351,23.46000,5.88000,-41.52000
3399,24.06000,5.76000,-41.22000
3449,23.70000,5.28000,-40.98000
3498,23.64000,5.46000,-41.04000
3549,23.52000,5.28000,-41.52000
3599,24.00000,5.40000,-41.40000
3650,23.40000,6.12000,-40.86000
3699,24.00000,5.34000,-41.34000
3750,23.70000,6.18000,-42.06000
3805,24.06000,6.06000,-41.88000
3850,24.18000,6.48000,-41.16000
3899,23.94000,5.40000,-41.76000
3950,23.58000,5.22000,-41.58000
3999,24.24000,5.16000,-41.22000
4049,24.18000,5.34000,-42.90000
4099,23.88000,5.76000,-41.76000
4148,24.12000,5.10000,-41.04000
4199,24.12000,5.34000,-40.68000
4248,24.00000,5.76000,-41.88000
4299,23.70000,4.98000,-41.94000
4349,24.18000,5.64000,-41.52000
4398,24.24000,5.16000,-41.64000
4449,23.52000,5.40000,-42.18000
4498,23.70000,6.00000,-41.22000
4548,23.52000,4.74000,-41.94000
4599,23.52000,5.28000,-41.46000
4648,24.06000,5.16000,-41.94000
4699,23.58000,5.04000,-41.04000
4749,23.58000,5.82000,-40.68000
4802,23.46000,5.70000,-41.88000
4848,23.76000,5.70000,-41.82000
4898,23.58000,5.64000,-41.34000
4949,23.94000,5.64000,-41.88000
4999,23.88000,5.58000,-41.46000
5050,23.46000,4.98000,-41.46000
5099,26.64000,2.70000,-39.30000
5149,32.28000,0.18000,-35.52000
5198,37.02000,-4.26000,-30.72000
5249,40.38000,-6.42000,-25.56000
5299,43.80000,-12.84000,-15.24000
5349,44.82000,-16.02000,-6.90000
5399,47.10000,-16.98000,-4.02000
5449,45.12000,-19.80000,-1.08000
5498,42.78000,-22.62000,0.18000
5549,42.54000,-23.82000,2.76000
5599,41.64000,-25.56000,4.80000
5648,41.64000,-24.96000,5.82000
5698,40.98000,-25.68000,4.74000
5749,41.88000,-23.16000,6.00000
5803,42.78000,-21.12000,6.60000
5850,44.70000,-17.34000,5.40000
5899,46.80000,-14.52000,2.52000
5949,48.48000,-10.38000,-0.48000
5999,49.20000,-7.62000,-2.82000
6049,49.38000,-7.92000,-3.06000
6099,49.50000,-8.40000,-3.12000
6149,48.84000,-9.78000,-1.62000
6199,48.12000,-11.04000,-1.68000
6250,47.16000,-11.76000,-2.58000
6299,47.88000,-12.60000,-3.00000
6349,47.70000,-11.88000,-3.54000
6399,47.10000,-11.94000,-5.34000
6449,46.80000,-14.28000,-6.54000
6499,46.62000,-10.56000,-9.36000
6550,46.68000,-8.16000,-13.86000
6599,46.14000,-3.42000,-14.70000
6649,45.66000,-0.36000,-16.98000
6699,45.48000,3.30000,-18.30000
6750,44.40000,8.04000,-18.24000
6804,44.70000,10.62000,-17.34000
6849,44.46000,12.96000,-15.30000
6899,43.98000,14.94000,-13.74000
6950,43.56000,15.60000,-12.06000
6999,43.86000,19.92000,-9.00000
7049,43.44000,20.16000,-6.12000
7099,42.90000,21.60000,-7.32000
7148,43.02000,21.18000,-7.14000
7199,43.44000,21.18000,-6.90000
7249,44.28000,19.92000,-5.76000
7298,45.18000,18.36000,-5.34000
7348,46.44000,14.88000,-4.98000
7399,47.64000,11.10000,-5.40000
7449,49.20000,7.92000,-5.10000
7498,48.90000,4.86000,-6.30000
7549,49.14000,2.76000,-6.96000
7598,49.50000,-0.06000,-6.96000
7649,49.38000,-2.52000,-8.64000
7699,49.98000,-4.38000,-9.54000
7750,49.20000,-6.48000,-10.44000
7799,48.72000,-6.72000,-11.76000
7854,47.10000,-8.88000,-12.42000
7898,46.98000,-8.10000,-12.36000
7949,46.44000,-10.50000,-15.60000
7999,46.80000,-13.14000,-14.22000
8049,46.32000,-13.32000,-12.90000
8101,46.32000,-11.10000,-13.68000
8149,46.68000,-6.78000,-16.68000
8199,46.74000,-2.64000,-15.36000
8248,47.52000,-0.72000,-15.78000
8298,46.56000,5.58000,-14.04000
8349,46.68000,8.16000,-13.26000
8398,47.04000,12.00000,-10.14000
8449,45.48000,13.50000,-10.32000
8498,46.02000,14.40000,-9.60000
8549,46.20000,15.66000,-8.40000
8598,45.60000,16.20000,-9.12000
8648,45.18000,17.10000,-8.52000
8698,44.76000,18.78000,-6.54000
8748,45.30000,18.06000,-4.32000
8799,46.26000,17.04000,-4.92000
8862,45.84000,15.72000,-5.40000
8898,46.20000,15.42000,-5.40000
8949,47.82000,12.78000,-1.44000
8998,47.82000,10.02000,-0.18000
9049,48.90000,6.84000,-1.68000
9098,49.44000,5.28000,-2.28000
9149,49.02000,2.04000,-4.68000
9199,49.68000,-0.60000,-4.20000
9248,49.26000,-6.24000,-3.18000
9299,48.06000,-9.60000,-2.76000
9348,47.28000,-13.32000,-6.24000
9398,45.54000,-13.92000,-7.20000
9449,44.82000,-12.72000,-9.12000
9499,45.96000,-10.80000,-9.30000
9548,47.28000,-7.56000,-9.48000
9599,47.52000,-3.54000,-7.44000
9648,47.10000,1.08000,-8.40000
9699,46.38000,6.30000,-11.82000
9748,45.00000,9.78000,-12.36000
9799,44.70000,11.52000,-12.24000
9852,43.08000,15.36000,-11.64000
9898,43.02000,17.94000,-12.96000
9949,41.34000,19.56000,-11.64000
9998,41.22000,21.24000,-10.20000
10049,40.92000,22.68000,-10.86000
10099,41.64000,23.10000,-9.30000
10149,40.68000,23.52000,-9.00000
10198,40.32000,24.72000,-8.70000
10249,39.84000,23.94000,-9.36000
10298,40.56000,24.06000,-7.86000
10348,40.74000,23.76000,-6.84000
10398,41.46000,22.68000,-6.78000
10448,42.60000,21.48000,-6.54000
10498,44.04000,17.94000,-7.68000
10548,45.18000,14.52000,-7.80000
10598,46.44000,11.88000,-6.72000
10648,47.04000,8.76000,-6.30000
10699,46.80000,8.16000,-6.06000
10748,47.10000,5.88000,-7.08000
10799,47.76000,4.74000,-7.62000
10855,48.30000,2.88000,-9.18000
